family,instance,n_vars,ppd_orig,mode,rep,sat,decisions,propagations,conflicts,ppd
flat30-60,flat30-100.cnf,90,4.3,identical,2,True,25,91,0,3.64
flat30-60,flat30-100.cnf,90,4.3,identical,3,True,25,91,0,3.64
flat30-60,flat30-100.cnf,90,4.3,identical,4,True,25,91,0,3.64
flat30-60,flat30-100.cnf,90,4.3,identical,5,True,25,91,0,3.64
flat30-60,flat30-100.cnf,90,4.3,identical,6,True,25,91,0,3.64
flat30-60,flat30-100.cnf,90,4.3,identical,7,True,25,91,0,3.64
flat30-60,flat30-100.cnf,90,4.3,identical,8,True,25,91,0,3.64
flat30-60,flat30-100.cnf,90,4.3,identical,9,True,25,91,0,3.64
flat30-60,flat30-100.cnf,90,4.3,identical,10,True,25,91,0,3.64
flat30-60,flat30-100.cnf,90,4.3,identical,11,True,25,91,0,3.64
flat30-60,flat30-100.cnf,90,4.3,clause_shuffle,0,True,25,91,0,3.64
flat30-60,flat30-100.cnf,90,4.3,clause_shuffle,1,True,25,91,0,3.64
flat30-60,flat30-100.cnf,90,4.3,clause_shuffle,2,True,25,91,0,3.64
flat30-60,flat30-100.cnf,90,4.3,clause_shuffle,3,True,25,91,0,3.64
flat30-60,flat30-100.cnf,90,4.3,clause_shuffle,4,True,25,91,0,3.64
flat30-60,flat30-100.cnf,90,4.3,clause_shuffle,5,True,25,91,0,3.64
flat30-60,flat30-100.cnf,90,4.3,clause_shuffle,6,True,25,91,0,3.64
flat30-60,flat30-100.cnf,90,4.3,clause_shuffle,7,True,25,91,0,3.64
flat30-60,flat30-100.cnf,90,4.3,clause_shuffle,8,True,25,91,0,3.64
flat30-60,flat30-100.cnf,90,4.3,clause_shuffle,9,True,25,91,0,3.64
flat30-60,flat30-100.cnf,90,4.3,clause_shuffle,10,True,25,91,0,3.64
flat30-60,flat30-100.cnf,90,4.3,clause_shuffle,11,True,25,91,0,3.64
flat30-60,flat30-100.cnf,90,4.3,var_rename,0,True,12,91,0,7.583333333333333
flat30-60,flat30-100.cnf,90,4.3,var_rename,1,True,35,312,7,8.914285714285715
flat30-60,flat30-100.cnf,90,4.3,var_rename,2,True,21,193,2,9.19047619047619
flat30-60,flat30-100.cnf,90,4.3,var_rename,3,True,24,114,1,4.75
flat30-60,flat30-100.cnf,90,4.3,var_rename,4,True,26,201,3,7.730769230769231
flat30-60,flat30-100.cnf,90,4.3,var_rename,5,True,20,181,2,9.05
flat30-60,flat30-100.cnf,90,4.3,var_rename,6,True,14,117,2,8.357142857142858
flat30-60,flat30-100.cnf,90,4.3,var_rename,7,True,20,230,4,11.5
flat30-60,flat30-100.cnf,90,4.3,var_rename,8,True,22,113,1,5.136363636363637
flat30-60,flat30-100.cnf,90,4.3,var_rename,9,True,13,91,0,7.0
flat30-60,flat30-100.cnf,90,4.3,var_rename,10,True,22,91,0,4.136363636363637
flat30-60,flat30-100.cnf,90,4.3,var_rename,11,True,22,195,3,8.863636363636363
flat30-60,flat30-100.cnf,90,4.3,phases,0,True,12,91,0,7.583333333333333
flat30-60,flat30-100.cnf,90,4.3,phases,1,True,15,121,1,8.066666666666666
flat30-60,flat30-100.cnf,90,4.3,phases,2,True,19,139,1,7.315789473684211
