size,rtt_us
256,1554.6660288237035
256,1552.5420021731406
256,1558.3340136799961
256,1600.3330238163471
256,1554.7499933745712
256,1553.4999838564545
256,1545.3750093001872
256,1582.165976287797
256,1564.2920043319464
256,1591.8330173008144
256,1578.6250005476177
256,1573.0840095784515
256,1569.2499873694032
256,1566.0839853808284
256,1569.374988321215
256,1553.3750120084733
256,1576.2079856358469
256,1565.9579948987812
256,1547.0830257982016
256,1568.4999816585332
256,1544.9580096174031
256,1657.1249871049076
256,1542.8329934366047
256,1545.4590029548854
256,1565.165992360562
256,1530.9159934986383
256,1561.6250166203827
256,1565.3329901397228
256,1549.1249796468765
256,1541.0420019179583
256,1557.500014314428
256,1556.4580098725855
256,1562.2499922756106
256,1563.4169976692647
256,1551.7080028075725
256,1559.7919991705567
256,1575.7500077597797
256,1551.791006932035
256,1556.083996547386
256,1545.3750093001872
256,1551.5830018557608
256,1552.834000904113
256,1564.8330154363066
256,1553.87501581572
256,1569.1249864175916
256,1559.4580036122352
256,1566.4589882362634
256,1589.6249969955534
256,1550.2919850405306
256,1551.7499996349216
256,1508.5409977473319
256,1544.541009934619
256,1557.6659934595227
256,1559.0419934596866
256,1535.1659967564046
256,1543.2919899467379
256,1504.249987192452
256,1732.7920068055391
256,1549.6249834541231
256,1605.2919963840395
256,1532.9589950852096
256,1505.5830008350313
256,1507.625012891367
256,1514.79197666049
256,1513.041992438957
256,1528.7499991245568
256,1568.8749845139682
256,1538.4169819299132
256,1565.4590097256005
256,1555.2080003544688
256,1607.9579945653677
256,1594.875007867813
256,1558.874995680526
256,1606.2499780673534
256,1598.7500082701445
256,1554.0419844910502
256,1562.166988151148
256,1572.6250130683184
256,1592.8329958114773
256,1589.7910052444786
256,1581.7089879419655
256,1581.5419901628047
256,1599.166978849098
256,1598.749979166314
256,1624.3330028373748
256,1564.6660176571459
256,1578.7500014994293
256,1547.7499982807785
256,1558.0409963149577
256,1554.7079965472221
256,1561.791985295713
256,1600.6670193746686
256,1535.9169919975102
256,1536.7089945357293
256,1513.374998467043
256,1560.79200678505
256,1551.291992655024
256,1559.5000004395843
256,1493.2079939171672
256,1533.7920049205422
256,1577.0840109325945
256,1580.2920097485185
256,1529.1250019799918
256,1562.2919891029596
256,1576.8329903949052
256,1596.0000164341182
256,1557.4160206597298
256,1587.5829849392176
256,1605.5830055847764
256,1577.791990712285
256,1602.0829789340496
256,1585.9999984968454
256,1577.5409992784262
256,1543.000020319596
256,1556.000002892688
256,1604.207995114848
256,1586.124999448657
256,1578.124996740371
256,1570.833002915606
256,1595.6249844748527
256,1588.7499903328717
256,1569.7079943493009
256,1572.00000830926
256,1576.4580166433007
256,1648.5409869346768
256,1676.7079941928387
256,1662.2499970253557
256,1623.4999930020422
256,1612.7080016303807
256,1592.3749888315797
256,1607.0419806055725
256,1611.1670120153576
256,1622.8750173468143
256,1622.7499872911721
256,1684.957998804748
256,1646.3329957332462
256,1630.7919868268073
256,1625.7500101346523
256,1607.5000166893005
256,1585.5829988140613
256,1598.8329832907766
256,1585.0409981794655
256,1630.4579912684858
256,1622.8749882429838
256,1573.1249877717346
256,1605.1249986048788
256,1636.6250056307763
256,1597.8330047801137
256,1533.4999770857394
256,1540.1669952552766
256,1523.8750202115625
256,1540.4170262627304
256,1545.0420032721013
256,1542.4169832840562
256,1558.5829969495535
256,1535.2090122178197
256,1551.2090176343918
256,1549.7079875785857
256,1531.9169906433672
256,1546.958985272795
256,1545.125007396564
256,1545.8749840036035
256,1547.7919951081276
256,1522.791018942371
256,1540.833996841684
256,1554.3750196229666
256,1554.7919902019203
256,1554.7919902019203
256,1570.0839867349714
256,1558.6249937769026
256,1588.4579916018993
256,1573.1670137029141
256,1557.5829893350601
256,1565.5829920433462
512,2352.458977838978
512,2335.708006285131
512,2327.0420206245035
512,2337.6249882858247
512,2347.6250062230974
512,2288.6249935254455
512,2354.249998461455
512,2313.2079804781824
512,2412.5410127453506
512,2339.3329756800085
512,2325.8750152308494
512,2335.2080024778843
512,2335.0830015260726
512,2343.2919988408685
512,2378.5829835105687
512,2352.167008211836
512,2348.500012885779
512,2352.5420110672712
512,2390.957990428433
512,2410.0829905364662
512,2414.833987131715
512,2439.957985188812
512,2451.041014865041
512,2460.874995449558
512,2508.4170047193766
512,2569.292002590373
512,2480.7080044411123
512,2445.5420207232237
512,2386.1670051701367
512,2389.0000011306256
512,2427.3339950013906
512,2423.95797977224
512,2530.375000787899
512,2519.0419983118773
512,2440.292009850964
512,2528.0409900005907
512,2466.291974997148
512,2438.958006678149
512,2508.9999835472554
512,2471.0829893592745
512,2479.8749946057796
512,2838.833024725318
512,2583.1250241026282
512,2551.4579901937395
512,2482.207986759022
512,2472.874999511987
512,2318.7079932540655
512,2360.458980547264
512,2377.5410081725568
512,2345.9170188289136
512,2350.3749980591238
512,2346.4580008294433
512,2340.458013350144
512,2387.9170184955
512,2363.584004342556
512,2325.4589759744704
512,2355.291013373062
512,2353.7079978268594
512,2406.666986644268
512,2411.5830019582063
512,2406.084007816389
512,2418.291987851262
