hash,family,instance,solver,result,completed,variables,clauses,decisions,propagations,props_per_decision,cpu_time,status
8647c26ddc3d8d67dd6691583b83f310,miter,8647c26ddc3d8d67dd6691583b83f310-LS6_diag.cnf.gz.CP3-cnfmiter.cnf,cadical,UNSAT,True,,,2071,19317,9.3274,0.03,ok
8647c26ddc3d8d67dd6691583b83f310,miter,8647c26ddc3d8d67dd6691583b83f310-LS6_diag.cnf.gz.CP3-cnfmiter.cnf,kissat,UNSAT,True,,,0,18463,,0.02,no_decisions
4b831ae59da3bc1b197c8dc9c69af18c,miter,4b831ae59da3bc1b197c8dc9c69af18c-goldb-heqc-rotmul.cnf,minisat,UNSAT,True,5980,35169,686303,31596631,46.0389,2.73618,ok
4b831ae59da3bc1b197c8dc9c69af18c,miter,4b831ae59da3bc1b197c8dc9c69af18c-goldb-heqc-rotmul.cnf,cadical,UNSAT,True,,,343737,14249913,41.4559,1.78,ok
4b831ae59da3bc1b197c8dc9c69af18c,miter,4b831ae59da3bc1b197c8dc9c69af18c-goldb-heqc-rotmul.cnf,kissat,UNSAT,True,,,399199,14793813,37.0587,1.30,ok
7310f9bbd57a85c7e808d237c8ac6d52,miter,7310f9bbd57a85c7e808d237c8ac6d52-shuffling-2-s1705735321-of-bench-sat04-336.used-as.sat04-580.cnf,minisat,UNSAT,True,5980,35106,709639,32610164,45.9532,3.12266,ok
7310f9bbd57a85c7e808d237c8ac6d52,miter,7310f9bbd57a85c7e808d237c8ac6d52-shuffling-2-s1705735321-of-bench-sat04-336.used-as.sat04-580.cnf,cadical,UNSAT,True,,,408378,17052383,41.7564,2.13,ok
7310f9bbd57a85c7e808d237c8ac6d52,miter,7310f9bbd57a85c7e808d237c8ac6d52-shuffling-2-s1705735321-of-bench-sat04-336.used-as.sat04-580.cnf,kissat,UNSAT,True,,,363938,14292499,39.2718,1.29,ok
30c26154809e48143f2f4328c9736578,miter,30c26154809e48143f2f4328c9736578-rotmul.miter.shuffled-as.sat03-356.cnf,minisat,UNSAT,True,5980,35117,601762,28681745,47.6629,2.66504,ok
30c26154809e48143f2f4328c9736578,miter,30c26154809e48143f2f4328c9736578-rotmul.miter.shuffled-as.sat03-356.cnf,cadical,UNSAT,True,,,364559,15496277,42.5069,1.88,ok
30c26154809e48143f2f4328c9736578,miter,30c26154809e48143f2f4328c9736578-rotmul.miter.shuffled-as.sat03-356.cnf,kissat,UNSAT,True,,,402865,15766190,39.1352,1.49,ok
07bbbb292324c8d8baeb232e144349fa,miter,07bbbb292324c8d8baeb232e144349fa-rand_net40-60-1.shuffled.cnf,minisat,UNSAT,True,4800,14321,1558,409229,262.6630,0.042632,ok
07bbbb292324c8d8baeb232e144349fa,miter,07bbbb292324c8d8baeb232e144349fa-rand_net40-60-1.shuffled.cnf,cadical,UNSAT,True,,,,,,0.01,no_decisions
07bbbb292324c8d8baeb232e144349fa,miter,07bbbb292324c8d8baeb232e144349fa-rand_net40-60-1.shuffled.cnf,kissat,UNSAT,True,,,0,16968,,0.01,no_decisions
a0b76f95482dd0f2d575b8859c7bc549,miter,a0b76f95482dd0f2d575b8859c7bc549-hwb-n20-02-S1178225014.shuffled-as.sat03-1608.cnf,minisat,UNSAT,True,134,630,4925197,122194523,24.8101,16.3292,ok
